,loss,class_loss,view_loss,class_accuracy,class_precision,class_recall,class_auc,view_accuracy,view_precision,view_recall,view_auc,val_loss,val_class_loss,val_view_loss,val_class_accuracy,val_class_precision,val_class_recall,val_class_auc,val_view_accuracy,val_view_precision,val_view_recall,val_view_auc,lr
28,1.1455657482147217,0.390045166015625,0.7555210590362549,0.9745272994041443,0.8945260643959045,0.8448927998542786,0.9885053038597107,0.9927910566329956,0.829912006855011,0.7137452960014343,0.9879783987998962,2.617860794067383,0.9592089653015137,1.6586521863937378,0.9405975937843323,0.7422937154769897,0.6218681335449219,0.9489953517913818,0.9856709837913513,0.6052009463310242,0.40322345495224,0.9565877914428711,9.999999747378752e-05
29,1.126183032989502,0.3704914152622223,0.7556915283203125,0.9759984016418457,0.9046553373336792,0.8495166301727295,0.9905284643173218,0.992405354976654,0.8129531145095825,0.7070197463035583,0.9885942339897156,2.6181581020355225,0.9638121128082275,1.6543492078781128,0.940649151802063,0.7430035471916199,0.6214285492897034,0.9484227895736694,0.9855630397796631,0.5998578071594238,0.4017948806285858,0.9572319984436035,9.999999747378752e-05
30,1.1782971620559692,0.41392001509666443,0.7643768191337585,0.973980724811554,0.89497309923172,0.8381673097610474,0.9872521162033081,0.9925041198730469,0.8191125988960266,0.7061790823936462,0.9882121682167053,2.623121738433838,0.9702015519142151,1.6529192924499512,0.9405646324157715,0.7425317764282227,0.6209523677825928,0.9478639364242554,0.9857507944107056,0.6079725027084351,0.40838828682899475,0.956243097782135,9.999999747378752e-05
31,1.1555038690567017,0.37579745054244995,0.7797067761421204,0.9756202101707458,0.8992454409599304,0.8516183495521545,0.990522027015686,0.9924690127372742,0.8189823627471924,0.7036569714546204,0.9868646860122681,2.626887559890747,0.9597852230072021,1.6671007871627808,0.9409114122390747,0.7440244555473328,0.6236996054649353,0.9486925005912781,0.9855404496192932,0.5989381074905396,0.40080586075782776,0.9559382796287537,9.999999747378752e-05
32,1.150322437286377,0.3981621563434601,0.752159833908081,0.9751576781272888,0.896628201007843,0.8495166301727295,0.9891356229782104,0.9925457835197449,0.8190199136734009,0.7095417976379395,0.9886108636856079,2.6370129585266113,0.9647632837295532,1.6722447872161865,0.9408579468727112,0.7437286972999573,0.6233699917793274,0.9483866691589355,0.9855333566665649,0.5987938642501831,0.40007326006889343,0.9554481506347656,9.999999747378752e-05
33,1.0810624361038208,0.34887009859085083,0.7321920394897461,0.9773855209350586,0.9082040190696716,0.8608658909797668,0.9918239116668701,0.992896318435669,0.8337408304214478,0.7166876792907715,0.9899603724479675,2.6205391883850098,0.9772319197654724,1.6433078050613403,0.9405755400657654,0.7424169182777405,0.6213186979293823,0.9470840096473694,0.9858202338218689,0.6117298603057861,0.40842491388320923,0.956792950630188,9.999999747378752e-05
34,1.0885709524154663,0.3681834042072296,0.7203876972198486,0.9772593975067139,0.9080817103385925,0.8596048951148987,0.9897202253341675,0.9928188323974609,0.8280038833618164,0.7183690667152405,0.9908961653709412,2.6356890201568604,0.9649330973625183,1.6707583665847778,0.9399369955062866,0.7400801777839661,0.6155677437782288,0.9485985636711121,0.9856289625167847,0.6027330160140991,0.40391942858695984,0.9555193185806274,9.999999747378752e-05
35,1.110389232635498,0.37120378017425537,0.7391854524612427,0.9761662483215332,0.9030249118804932,0.8532996773719788,0.9909272789955139,0.9925318956375122,0.8182258605957031,0.7095417976379395,0.9885310530662537,2.6658060550689697,0.969099223613739,1.6967090368270874,0.9403625726699829,0.7405160069465637,0.6213552951812744,0.947887122631073,0.9853779077529907,0.5920386910438538,0.3944322466850281,0.9548872709274292,9.999999747378752e-05
36,1.101934552192688,0.3672594428062439,0.734675407409668,0.9765869379043579,0.9013215899467468,0.8600252270698547,0.9897797107696533,0.9926929473876953,0.8245869874954224,0.7133249044418335,0.988384485244751,2.6149609088897705,0.9590660929679871,1.655897617340088,0.9414327144622803,0.7482333183288574,0.6244322061538696,0.9487913250923157,0.98574298620224,0.6074384450912476,0.4086080491542816,0.9565283060073853,9.999999747378752e-05
37,1.1537967920303345,0.39312905073165894,0.7606678009033203,0.9744852185249329,0.8951828479766846,0.8436318039894104,0.9892719984054565,0.992209792137146,0.8082724809646606,0.6981925368309021,0.9885320067405701,2.6150076389312744,0.9868989586830139,1.6281083822250366,0.9394612908363342,0.736301839351654,0.6147985458374023,0.9464855790138245,0.9857234358787537,0.6070764660835266,0.4066300392150879,0.9585047364234924,9.999999747378752e-05
38,1.0880844593048096,0.36853668093681335,0.719547688961029,0.9769648909568787,0.9077950716018677,0.8566624522209167,0.9901192784309387,0.9929940104484558,0.8365055918693542,0.7204707860946655,0.9907050728797913,2.610004186630249,0.9619079232215881,1.6480958461761475,0.9405712485313416,0.7431507110595703,0.6200000047683716,0.9483435750007629,0.9856468439102173,0.6038811802864075,0.4035164713859558,0.9571971893310547,9.999999747378752e-05
39,1.1257548332214355,0.38585779070854187,0.7398969531059265,0.9748213887214661,0.9005400538444519,0.8411096930503845,0.9905075430870056,0.9926722645759583,0.8230732083320618,0.7137452960014343,0.9892723560333252,2.605419158935547,0.962403416633606,1.6430168151855469,0.9401805996894836,0.7407911419868469,0.6180586218833923,0.9485561847686768,0.9857619404792786,0.6092762351036072,0.4061172306537628,0.9568594694137573,9.999999747378752e-05
40,1.127132534980774,0.3813571333885193,0.7457749247550964,0.974358856678009,0.8946898579597473,0.8427910804748535,0.9899028539657593,0.9929102659225464,0.8342298269271851,0.7171080112457275,0.9887750148773193,2.64041805267334,0.9832581281661987,1.657160997390747,0.9404168725013733,0.7409380674362183,0.6214652061462402,0.946600615978241,0.9855559468269348,0.5990206599235535,0.40329670906066895,0.9567266702651978,9.999999747378752e-05
41,1.1294273138046265,0.37295621633529663,0.7564715147018433,0.9762085676193237,0.9063200354576111,0.8499369621276855,0.9903779029846191,0.9923079013824463,0.8116788268089294,0.7011349201202393,0.988797128200531,2.6164965629577637,0.990024209022522,1.6264722347259521,0.9393012523651123,0.735460638999939,0.6137728691101074,0.9459584355354309,0.9858004450798035,0.6114727258682251,0.40608057379722595,0.9579477310180664,9.999999747378752e-05
